mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kbest__k,param_svc__C,param_svc__kernel,param_svc__gamma,param_svc__coef0,param_svc__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.466226196,0.061437295,0.015240812,0.003434258,15,6.667,linear,,,,"{'kbest__k': 15, 'svc__C': 6.667000000000001, 'svc__kernel': 'linear'}",0.878460225,0.905115282,0.903380038,0.930460618,0.848441931,0.893171618,0.027765095,18
0.506813478,0.114025594,0.017367029,0.007947452,15,7.778,linear,,,,"{'kbest__k': 15, 'svc__C': 7.7780000000000005, 'svc__kernel': 'linear'}",0.878460225,0.905115282,0.903380038,0.930460618,0.848441931,0.893171618,0.027765095,18
0.373845959,0.056989478,0.035688972,0.002133578,15,6.667,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 6.667000000000001, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.905115282,0.902590692,0.895330716,0.898571926,0.86192279,0.892706281,0.015751836,20
0.367332125,0.039335244,0.039970255,0.010750694,10,4.445,rbf,0.1,,,"{'kbest__k': 10, 'svc__C': 4.445, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.884416573,0.827619677,0.912161364,0.941219112,0.886151527,0.890313651,0.037553486,21
0.369763947,0.0429098,0.028036594,0.002725202,10,4.445,rbf,scale,,,"{'kbest__k': 10, 'svc__C': 4.445, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.884416573,0.827619677,0.912161364,0.941219112,0.886151527,0.890313651,0.037553486,21
0.619860029,0.07756649,0.016758347,0.004125544,15,8.889,linear,,,,"{'kbest__k': 15, 'svc__C': 8.889, 'svc__kernel': 'linear'}",0.873652583,0.905115282,0.903380038,0.930460618,0.838824235,0.890286551,0.031401736,23
0.705882406,0.151694463,0.022282505,0.003935394,20,4.445,linear,,,,"{'kbest__k': 20, 'svc__C': 4.445, 'svc__kernel': 'linear'}",0.878460225,0.901536006,0.919997274,0.909815173,0.838824235,0.889726582,0.028904354,24
0.395644522,0.016502341,0.035798645,0.004716108,15,8.889,rbf,scale,,,"{'kbest__k': 15, 'svc__C': 8.889, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.891693791,0.891693791,0.881721151,0.898571926,0.884866422,0.889709416,0.005893836,25
0.542784834,0.032722541,0.012852573,0.005384058,15,10,linear,,,,"{'kbest__k': 15, 'svc__C': 10.0, 'svc__kernel': 'linear'}",0.869102311,0.905115282,0.903380038,0.930460618,0.838824235,0.889376497,0.031932076,26
0.428061247,0.038961117,0.015365601,0.00425257,15,4.445,linear,,,,"{'kbest__k': 15, 'svc__C': 4.445, 'svc__kernel': 'linear'}",0.878460225,0.905115282,0.903380038,0.919997274,0.838824235,0.889155411,0.028481195,27
0.413572216,0.040148654,0.014374828,0.003495059,15,2.223,linear,,,,"{'kbest__k': 15, 'svc__C': 2.223, 'svc__kernel': 'linear'}",0.869102311,0.918433338,0.903380038,0.919997274,0.834564494,0.889095491,0.032842152,28
0.406503868,0.010227308,0.036925888,0.003654819,15,4.445,rbf,0.1,,,"{'kbest__k': 15, 'svc__C': 4.445, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.878163791,0.92537822,0.868345506,0.91046987,0.859262974,0.888324072,0.025339172,29
